,p_0,p_1,p_2,p_3,p_4,p_5,p_6
0,0.018468065,0.035911053,0.012616096,0.060235217,0.01646287,0.021594433,0.03512666
1,0.016887326,0.032351915,0.011761286,0.058189385,0.016308252,0.020931661,0.034389097
2,0.033210207,0.039419666,0.018504767,0.055731576,0.02067463,0.024227757,0.040948212
3,0.019184893,0.035020314,0.013234442,0.05660534,0.016852101,0.020543953,0.036816344
4,0.020312458,0.035679247,0.012790212,0.05640549,0.01839252,0.020343788,0.03766677
5,0.018901119,0.035117723,0.013468548,0.05977033,0.01543791,0.024944933,0.034200843
6,0.023650432,0.047308233,0.014915344,0.082371384,0.019539138,0.0280604,0.039567064
7,0.01879258,0.040359028,0.013114684,0.06824417,0.017693235,0.022968097,0.03722924
8,0.016903602,0.032718126,0.011520893,0.05278613,0.016949534,0.018992556,0.03608386
9,0.01867666,0.036481123,0.012408134,0.060640886,0.016281653,0.020659672,0.035054836
10,0.02387923,0.044288184,0.014478608,0.065594,0.019624408,0.022103831,0.039946586
11,0.014676669,0.028655142,0.010356661,0.053413697,0.015346789,0.019755747,0.033333883
12,0.025066376,0.04335797,0.017243562,0.065965936,0.021403162,0.02480079,0.04379307
13,0.018323092,0.038898744,0.011843964,0.06351578,0.021107579,0.022348637,0.04170945
14,0.017482566,0.039518114,0.011787348,0.06297401,0.01873472,0.021873446,0.038720395
15,0.021961514,0.042933073,0.014149187,0.06360021,0.023256127,0.022873651,0.04451202
16,0.018041484,0.034653876,0.011614035,0.05569746,0.016514122,0.020049596,0.03510768
17,0.01897797,0.03956317,0.0123120835,0.07017956,0.0172691,0.024783691,0.035748046
18,0.036264334,0.054562896,0.022084858,0.07486751,0.029183539,0.028036201,0.05229147
19,0.034152266,0.053835157,0.02086475,0.07250593,0.02955223,0.027406776,0.052627485
20,0.0218763,0.04496419,0.014602058,0.07863265,0.01896676,0.02436523,0.03817224
21,0.018045058,0.035208244,0.0127145825,0.063754424,0.020052534,0.02357337,0.04044997
22,0.019591263,0.03699536,0.013089578,0.062018268,0.017599301,0.021309333,0.037096497
23,0.021408273,0.04250092,0.013390783,0.066578105,0.023658881,0.023825755,0.04500874
24,0.014470194,0.03517803,0.010888176,0.062147073,0.014713377,0.02123892,0.03341639
25,0.018959792,0.0405603,0.012745279,0.06690781,0.019691324,0.023606233,0.040319767
26,0.017245281,0.03967555,0.012689604,0.065685876,0.01852249,0.022878602,0.039178904
27,0.019461147,0.039686322,0.013110631,0.06101783,0.022502618,0.022629574,0.043505713
28,0.018714506,0.032921236,0.011982424,0.054346178,0.016644167,0.020677086,0.03489482
29,0.023326157,0.041675597,0.016151486,0.06650113,0.02126048,0.023444759,0.043793898
30,0.016283456,0.03746503,0.011065949,0.06409599,0.016909499,0.021977626,0.036454402
31,0.018073356,0.03379392,0.012017662,0.057527978,0.019158907,0.021953532,0.03986301
32,0.044691253,0.053112008,0.02039924,0.0782033,0.028621424,0.025056027,0.052182887
33,0.016898269,0.03853536,0.01286749,0.06614301,0.019652499,0.022817096,0.04081966
34,0.020490939,0.03496094,0.013099764,0.054465584,0.019984502,0.021318702,0.039563823
35,0.022336684,0.047867108,0.012950793,0.08196327,0.017512158,0.023915324,0.0367901
36,0.34969568,0.40649298,0.09021925,0.30900753,0.073611744,0.04705096,0.11788961
37,0.15918243,0.18942277,0.04291554,0.1522582,0.06638962,0.04553244,0.09221538
38,0.08770692,0.07546079,0.034063898,0.08303831,0.039620582,0.03931792,0.062375527
39,0.023043746,0.040776,0.015415141,0.074753255,0.023166314,0.028500503,0.04426432
40,0.0723718,0.086436816,0.034258865,0.104390755,0.060978923,0.051856074,0.08498144
41,0.12949362,0.1220187,0.041237645,0.12427018,0.057237994,0.047347125,0.08081326
42,0.01905098,0.037753463,0.012388487,0.059599746,0.018508408,0.021549106,0.037878606
43,0.017005576,0.03502624,0.01141801,0.058430403,0.019016938,0.021751452,0.03875707
44,0.021667862,0.037526045,0.013811255,0.055971015,0.022214033,0.02216211,0.042659916
45,0.0204086,0.035545934,0.014796873,0.06559715,0.02498352,0.028608143,0.047131825
46,0.019015418,0.03881116,0.013262975,0.06500208,0.016803812,0.022249978,0.036099784
47,0.02245841,0.04488476,0.014373977,0.068595394,0.023043951,0.025641948,0.044375923
48,0.016091786,0.03814572,0.011289746,0.06409785,0.016719664,0.021671502,0.03623938
49,0.01706435,0.03932977,0.01276141,0.06963239,0.018471725,0.023099886,0.039890688
50,0.016551439,0.037431065,0.012435696,0.06369382,0.019844946,0.022474892,0.040891565
51,0.02261896,0.03719334,0.014953791,0.057654634,0.02122161,0.022094043,0.041648228
52,0.018680522,0.036797468,0.013203206,0.060774677,0.017865658,0.02180237,0.037890654
53,0.016027065,0.03544958,0.01124065,0.06110471,0.017735783,0.021359995,0.037516203
54,0.015526161,0.035720885,0.011635582,0.060840935,0.019089054,0.02128081,0.03943303
55,0.018698888,0.036882795,0.012702319,0.061842825,0.017580021,0.021638684,0.03636511
56,0.02659167,0.05420571,0.01608553,0.092297785,0.019748267,0.02731943,0.04027677
57,0.090895355,0.1311475,0.0330003,0.14999536,0.038111955,0.039799012,0.06492392
58,0.072739206,0.0767501,0.032717064,0.09334162,0.041910578,0.040932447,0.067566305
59,0.09981766,0.09442483,0.03390959,0.097556576,0.043581855,0.03893203,0.06672687
