,index,p_0,p_1,p_2,p_3,p_4,p_5,p_6
0,2500,0.14507633,0.16217552,0.0461454,0.15160534,0.052250948,0.042629935,0.07833034
1,2501,0.14249723,0.19453436,0.040891547,0.17352258,0.06595874,0.045186915,0.08914573
2,2502,0.15310729,0.18748863,0.048621994,0.18198253,0.054999948,0.046304617,0.08315144
3,2503,0.27828747,0.26237586,0.072526835,0.21803243,0.066063695,0.050052136,0.09990823
4,2504,0.26744595,0.30776566,0.06958823,0.2508002,0.07562428,0.049016915,0.10977845
5,2505,0.13097247,0.1541356,0.040378388,0.1509787,0.04946622,0.038389813,0.07475987
6,2506,0.08951333,0.11619783,0.03255134,0.12843516,0.043132205,0.03426316,0.06518247
7,2507,0.08605857,0.079394884,0.03861611,0.0970132,0.045914035,0.041708697,0.06964688
8,2508,0.12729685,0.20563899,0.037059855,0.19434689,0.05275387,0.03723883,0.077926
9,2509,0.049121723,0.060525306,0.024798179,0.08194197,0.035632487,0.034806132,0.05865954
10,2510,0.21398382,0.2531829,0.06370996,0.23328753,0.069448695,0.048996408,0.10104847
11,2511,0.07856345,0.105931886,0.03398582,0.10789732,0.04747569,0.04319343,0.07356428
12,2512,0.04668029,0.06559338,0.02353905,0.076340765,0.03181154,0.030467756,0.05459882
13,2513,0.034028564,0.047455102,0.018896848,0.068435706,0.02928361,0.02912425,0.049993455
14,2514,0.17735977,0.21467449,0.04646636,0.18786775,0.057712305,0.038775057,0.08510997
15,2515,0.06135587,0.06207708,0.028536048,0.079304695,0.036177974,0.03762886,0.05897605
16,2516,0.09417463,0.11814267,0.038061563,0.13944244,0.04949868,0.046686973,0.07655023
17,2517,0.098476455,0.11181929,0.037055064,0.124678545,0.045118023,0.039094545,0.069674626
18,2518,0.08228316,0.1229578,0.03243671,0.14627036,0.040223047,0.038177922,0.067851365
19,2519,0.093084656,0.10552617,0.03599587,0.11764959,0.054023765,0.041285705,0.07767058
20,2520,0.19463621,0.20071676,0.057018057,0.18830052,0.061034422,0.047439154,0.094091944
21,2521,0.19773562,0.23757054,0.060969554,0.21093516,0.06506633,0.051638752,0.09703167
22,2522,0.15920298,0.20280294,0.044836488,0.1908159,0.05809114,0.04353778,0.08826202
23,2523,0.053769555,0.081959546,0.023257405,0.09983372,0.03386711,0.033274554,0.056345154
24,2524,0.030077424,0.04582393,0.018903024,0.06499938,0.023162633,0.024820726,0.04622746
25,2525,0.026665714,0.047110926,0.016965631,0.06798264,0.025146239,0.02470645,0.04832416
26,2526,0.09089472,0.063435175,0.03655981,0.07407275,0.038795415,0.03835354,0.06319608
27,2527,0.3214274,0.30135354,0.09087006,0.22632144,0.09034001,0.06094897,0.12458392
28,2528,0.07850529,0.051754992,0.045167126,0.078294806,0.047195006,0.059769988,0.073882975
29,2529,0.07036115,0.058929,0.05398533,0.107109144,0.08605841,0.050034914,0.1300083
30,2530,0.052382477,0.029124612,0.030438712,0.0440922,0.03133017,0.032883395,0.05799261
31,2531,0.10074374,0.061370365,0.09546237,0.10120329,0.095791444,0.09732465,0.15035571
32,2532,0.08305412,0.04979419,0.07190641,0.0824098,0.07988298,0.071975335,0.12512574
33,2533,0.06505375,0.0373992,0.03587961,0.057512015,0.035385013,0.033183932,0.061350983
34,2534,0.04941541,0.030892061,0.035637878,0.063981794,0.0401296,0.03359918,0.07277062
35,2535,0.0495326,0.03463386,0.042141028,0.079117596,0.049356505,0.038032647,0.08758571
36,2536,0.13894416,0.08508336,0.19155683,0.13827577,0.112706296,0.20878603,0.21178852
37,2537,0.14523134,0.1304133,0.1916169,0.20391099,0.24209602,0.21897358,0.33792266
38,2538,0.110400364,0.09295642,0.14682366,0.16360575,0.2096978,0.22556609,0.30241695
39,2539,0.21147612,0.15150143,0.37285832,0.22202307,0.21952502,0.52127665,0.49018183
40,2540,0.10948798,0.07411325,0.14947286,0.13329722,0.13519233,0.22463556,0.23224778
41,2541,0.18705393,0.115520306,0.3608876,0.16468628,0.16976401,0.5646468,0.45132762
42,2542,0.25803402,0.16395429,0.42238286,0.21157981,0.17024256,0.5598749,0.45497417
43,2543,0.16300061,0.11631428,0.2073805,0.2070113,0.13056023,0.15625529,0.21643418
44,2544,0.07040964,0.037876535,0.06378613,0.09597333,0.046687637,0.061085258,0.08444144
45,2545,0.062603876,0.044219613,0.04293148,0.07496154,0.042353775,0.03674161,0.07118634
46,2546,0.06691491,0.043813743,0.042385902,0.07491566,0.043595407,0.035321526,0.073470764
47,2547,0.10887354,0.05372852,0.06724773,0.07786722,0.053496864,0.05554286,0.08707499
48,2548,0.068896845,0.039885167,0.039698455,0.06203977,0.035924274,0.031127691,0.06317462
49,2549,0.049809657,0.053831283,0.02723227,0.075306855,0.03567076,0.035051305,0.057749696
50,2550,0.0788696,0.06661192,0.036779188,0.080766015,0.047298193,0.04237862,0.07462318
51,2551,0.07124093,0.067606136,0.02878222,0.07905336,0.031710483,0.031222327,0.053596996
52,2552,0.13366605,0.1354463,0.04728321,0.13788345,0.049529187,0.043157473,0.07491207
53,2553,0.0644162,0.07051872,0.028594213,0.08567518,0.03332754,0.031675838,0.056542918
54,2554,0.16579421,0.15232207,0.04934892,0.1330931,0.05795593,0.0446822,0.083283655
55,2555,0.18538885,0.23261906,0.049589843,0.20713627,0.058241986,0.039420124,0.086711176
56,2556,0.3091601,0.38662302,0.0786525,0.3001297,0.07901267,0.048051402,0.11705892
57,2557,0.16422349,0.14265208,0.049192987,0.13051288,0.051819466,0.03999871,0.07715597
58,2558,0.05706332,0.06995386,0.032027554,0.099370055,0.0494565,0.043006223,0.073172174
